Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
CWHds2/07,22.41,22.76,23.03,NA,Pl
CWHds2/07,26.44,26.91,27.61,28,Cw
CWHds2/07,35.39,35.57,35.68,36,Fd
CWHds2/08,17.59,18.18,18.76,NA,Bl
CWHds2/08,18.6,19.59,20.49,NA,Py
CWHds2/08,19.03,19.27,19.52,NA,Sx
CWHds2/08,20.67,21.18,21.82,NA,Lw
CWHds2/08,20.89,21.17,21.53,NA,Hw
CWHds2/08,22.41,22.76,23.03,NA,Pl
CWHds2/08,26.44,26.91,27.61,28,Cw
CWHds2/08,35.39,35.57,35.68,NA,Fd
CWHds2/09,17.59,18.18,18.76,NA,Bl
CWHds2/09,18.6,19.59,20.49,NA,Py
CWHds2/09,19.03,19.27,19.52,NA,Sx
CWHds2/09,20.67,21.18,21.82,NA,Lw
CWHds2/09,20.89,21.17,21.53,NA,Hw
CWHds2/09,22.41,22.76,23.03,NA,Pl
CWHds2/09,26.44,26.91,27.61,24,Cw
CWHds2/09,35.39,35.57,35.68,NA,Fd
CWHds2/11,1.24,6.62,11.99,NA,Lw
CWHds2/11,11.81,13.47,15.13,NA,Bl
CWHds2/11,12.55,14.36,16.18,12,Cw
CWHds2/11,13.11,13.75,14.4,NA,Hw
CWHds2/11,13.18,13.55,13.92,NA,Sx
CWHds2/11,14.65,15.37,16.1,16,Pl
CWHds2/11,30.68,31.3,31.91,NA,Fd
CWHds2/11,40.72,45.26,49.81,NA,Py
CWHds2/12,14.61,15.4,15.86,NA,Hw
CWHds2/12,14.76,15.25,15.7,NA,Sx
CWHds2/12,15.93,16.1,16.27,NA,Bl
CWHds2/12,18.11,18.8,19.24,NA,Pl
CWHds2/12,18.71,20.69,21.82,20,Cw
CWHds2/12,20.93,27.03,32.36,NA,Lw
CWHds2/12,32.5,33.46,34.04,NA,Fd
CWHds2/12,54.2,54.85,55.36,NA,Py
CWHmm1/01,14.95,16.76,18.5,NA,Sx
CWHmm1/01,15.07,16.01,17.07,NA,Bl
CWHmm1/01,15.71,17.99,19.25,NA,Py
CWHmm1/01,16.99,18.26,19.76,NA,Pl
CWHmm1/01,20.16,20.98,22.22,NA,Lw
CWHmm1/01,20.59,22.59,24.58,24,Hw
CWHmm1/01,20.78,22.58,24.19,24,Cw
CWHmm1/01,33.44,35.61,37.64,28,Fd
CWHmm1/02,13.06,13.52,13.83,NA,Sx
CWHmm1/02,13.45,14.11,15.19,NA,Cw
CWHmm1/02,13.93,15.36,16.52,NA,Lw
CWHmm1/02,15.34,15.43,15.56,20,Pl
CWHmm1/02,15.4,15.48,15.62,NA,Bl
CWHmm1/02,15.54,16.43,17.82,NA,Hw
CWHmm1/02,17.37,17.54,17.64,NA,Py
CWHmm1/02,25.66,26.2,26.74,20,Fd
CWHmm1/03,14.03,15.77,17.68,NA,Sx
CWHmm1/03,14.61,15.27,16.1,NA,Bl
CWHmm1/03,16.65,17.64,19.05,NA,Pl
CWHmm1/03,16.89,19.22,21.48,NA,Hw
CWHmm1/03,17.11,19.3,21.35,20,Cw
CWHmm1/03,17.96,18.9,19.37,NA,Py
CWHmm1/03,18.51,19.73,21.56,NA,Lw
CWHmm1/03,29.91,32.71,35.56,32,Fd
CWHmm1/04,15.75,16.88,17.97,NA,Bl
CWHmm1/04,16.27,17.36,18.5,NA,Sx
CWHmm1/04,18.21,19.56,20.55,NA,Pl
CWHmm1/04,19.3,19.91,20.69,NA,Lw
CWHmm1/04,19.45,19.77,20.08,NA,Py
CWHmm1/04,21.51,23.28,24.77,24,Cw
CWHmm1/04,22,24.76,26.52,NA,Hw
CWHmm1/04,33.58,35.71,37.81,36,Fd
CWHmm1/05,16.58,17.63,18.57,NA,Bl
CWHmm1/05,18.14,18.8,19.46,NA,Sx
CWHmm1/05,18.64,19.2,19.87,NA,Py
CWHmm1/05,19.43,20.2,20.69,NA,Pl
CWHmm1/05,20.3,20.6,20.88,NA,Lw
CWHmm1/05,24.15,25.45,26.45,28,Cw
CWHmm1/05,24.16,26.11,27.36,28,Hw
CWHmm1/05,37.37,38.53,39.62,40,Fd
CWHmm1/06,12.92,18.32,20.38,NA,Lw
CWHmm1/06,13.82,16.07,17.43,NA,Bl
CWHmm1/06,14.89,16.55,18.37,NA,Sx
CWHmm1/06,15.15,22.1,29.89,NA,Py
CWHmm1/06,16.07,18.05,19.97,NA,Pl
CWHmm1/06,20.36,23.06,25.11,24,Hw
CWHmm1/06,21.73,24.14,25.55,24,Cw
CWHmm1/06,35.11,36.61,37.95,NA,Fd
CWHmm1/07,16.99,17.59,18.41,NA,Bl
CWHmm1/07,17.73,18.53,19.34,NA,Sx
CWHmm1/07,19.73,20.12,20.58,NA,Pl
CWHmm1/07,20.48,25.38,30.39,NA,Py
CWHmm1/07,21.07,22.66,24.83,NA,Lw
CWHmm1/07,24.14,25.54,26.9,NA,Hw
CWHmm1/07,25.92,26.81,27.61,28,Cw
CWHmm1/07,38.5,39.06,39.65,36,Fd
CWHmm1/11,1.23,6.57,11.91,NA,Lw
CWHmm1/11,11.69,13.33,14.98,NA,Bl
CWHmm1/11,12.55,14.36,16.18,12,Cw
CWHmm1/11,13.14,13.51,13.88,NA,Sx
CWHmm1/11,13.16,13.81,14.46,16,Pl
CWHmm1/11,16.66,17.48,18.29,NA,Hw
CWHmm1/11,34.09,34.77,35.46,NA,Fd
CWHmm1/11,40.8,45.35,49.91,NA,Py
CWHmm1/12,14.71,15.2,15.65,NA,Sx
CWHmm1/12,15.77,15.94,16.11,NA,Bl
CWHmm1/12,16.27,16.89,17.28,NA,Pl
CWHmm1/12,18.57,19.56,20.16,24,Hw
CWHmm1/12,18.71,20.69,21.82,20,Cw
CWHmm1/12,20.78,26.84,32.13,NA,Lw
CWHmm1/12,36.11,37.18,37.83,NA,Fd
CWHmm1/12,54.31,54.97,55.47,NA,Py
CWHmm2/01,13.8,14.66,15.63,NA,Bl
CWHmm2/01,14.58,16.34,18.04,NA,Sx
CWHmm2/01,15.74,16.92,18.31,NA,Pl
CWHmm2/01,15.98,18.29,19.57,NA,Py
CWHmm2/01,17.81,19.35,20.73,24,Cw
CWHmm2/01,18.97,19.74,20.92,NA,Lw
CWHmm2/01,20.59,22.59,24.58,24,Hw
CWHmm2/01,23.41,24.92,26.34,28,Fd
CWHmm2/02,11.53,12.09,13.02,NA,Cw
CWHmm2/02,12.74,13.19,13.49,NA,Sx
CWHmm2/02,13.11,14.45,15.55,NA,Lw
CWHmm2/02,14.1,14.18,14.31,NA,Bl
CWHmm2/02,14.21,14.29,14.41,16,Pl
CWHmm2/02,15.54,16.43,17.82,NA,Hw
CWHmm2/02,17.67,17.84,17.93,NA,Py
CWHmm2/02,17.96,18.34,18.71,16,Fd
CWHmm2/03,13.38,13.99,14.75,NA,Bl
CWHmm2/03,13.69,15.38,17.24,NA,Sx
CWHmm2/03,14.67,16.54,18.3,20,Cw
CWHmm2/03,15.42,16.34,17.65,NA,Pl
CWHmm2/03,16.89,19.22,21.48,NA,Hw
CWHmm2/03,17.42,18.57,20.29,NA,Lw
CWHmm2/03,18.27,19.22,19.7,NA,Py
CWHmm2/03,20.94,22.9,24.89,24,Fd
CWHmm2/04,14.43,15.46,16.46,NA,Bl
CWHmm2/04,15.87,16.93,18.04,NA,Sx
CWHmm2/04,16.86,18.12,19.04,NA,Pl
CWHmm2/04,18.17,18.74,19.47,NA,Lw
CWHmm2/04,18.43,19.95,21.23,20,Cw
CWHmm2/04,19.78,20.1,20.42,NA,Py
CWHmm2/04,22,24.76,26.52,NA,Hw
CWHmm2/04,23.5,25,26.46,24,Fd
CWHmm2/05,15.19,16.15,17.01,NA,Bl
CWHmm2/05,17.7,18.33,18.98,NA,Sx
CWHmm2/05,18,18.71,19.17,NA,Pl
CWHmm2/05,18.95,19.53,20.2,NA,Py
CWHmm2/05,19.11,19.39,19.65,NA,Lw
