"Unit","Spp","SIPred","MeanPlotSiteIndex"
"BGxw2/Gg","Hm",14.0126482961096,NA
"BGxw2/Gg","Hw",15.2079449486355,NA
"BGxw2/Gg","Lw",19.0751704147167,NA
"BGxw2/Gg","Pl",17.8237419387235,NA
"BGxw2/Gg","Pw",21.2792734505858,NA
"BGxw2/Gg","Py",13.0040077281442,NA
"BGxw2/Gg","Sb",9.79625927260225,NA
"BGxw2/Gg","Ss",24.6388198246999,NA
"BGxw2/Gg","Sx",16.5251608898221,NA
"BGxw2/Gg","Yc",17.7329282169778,NA
"BWBSdk/101","At",13.7371446487292,12
"BWBSdk/101","At",13.7371446487292,12
"BWBSdk/101","Ba",14.3255085657185,NA
"BWBSdk/101","Bl",13.7678296255118,12
"BWBSdk/101","Bl",13.7678296255118,12
"BWBSdk/101","Cw",15.3119478325487,NA
"BWBSdk/101","Fd",19.5310333215947,NA
"BWBSdk/101","Hm",13.3713026377305,NA
"BWBSdk/101","Hw",17.5940068097063,NA
"BWBSdk/101","Lw",21.7870489930552,NA
"BWBSdk/101","Pl",15.8675320390448,15
"BWBSdk/101","Pl",15.8675320390448,15
"BWBSdk/101","Pw",22.3482460859732,NA
"BWBSdk/101","Py",19.0313183554943,NA
"BWBSdk/101","Sb",9.54098447192704,NA
"BWBSdk/101","Ss",25.1542329902986,NA
"BWBSdk/101","Sx",14.8319615541749,15
"BWBSdk/101","Sx",14.8319615541749,15
"BWBSdk/101","Yc",20.7147039650748,NA
"BWBSdk/102","At",11.874102397356,NA
"BWBSdk/102","Ba",12.5987782868067,NA
"BWBSdk/102","Bl",10.7252095089582,NA
"BWBSdk/102","Cw",11.3412509007761,NA
"BWBSdk/102","Fd",16.625153475208,NA
"BWBSdk/102","Hm",10.9807790209531,NA
"BWBSdk/102","Hw",12.6822572069631,NA
"BWBSdk/102","Lw",19.0132806454941,NA
"BWBSdk/102","Pl",12.0637880789295,12
"BWBSdk/102","Pl",12.0637880789295,12
"BWBSdk/102","Pw",21.237601978522,NA
"BWBSdk/102","Py",17.2083279313819,NA
"BWBSdk/102","Sb",10.2949238035443,NA
"BWBSdk/102","Ss",22.2016503211337,NA
"BWBSdk/102","Sx",9.20473711591828,9
"BWBSdk/102","Sx",9.20473711591828,9
"BWBSdk/102","Yc",15.4611234245387,NA
"BWBSmk/101","At",15.3398349851084,15
"BWBSmk/101","At",15.3398349851084,15
"BWBSmk/101","Ba",17.2861703890641,NA
"BWBSmk/101","Bl",16.5199742118107,NA
"BWBSmk/101","Cw",16.0876071870601,NA
"BWBSmk/101","Fd",21.398086399023,NA
"BWBSmk/101","Hm",14.2557897825603,NA
"BWBSmk/101","Hw",17.7641099356126,NA
"BWBSmk/101","Lw",21.609209404041,NA
"BWBSmk/101","Pl",16.9414745758089,15
"BWBSmk/101","Pl",16.9414745758089,15
"BWBSmk/101","Pw",23.0318303153422,NA
"BWBSmk/101","Py",18.1530699111096,NA
"BWBSmk/101","Sb",9.41042736684691,9
"BWBSmk/101","Sb",9.41042736684691,9
"BWBSmk/101","Ss",24.6505921168747,NA
"BWBSmk/101","Sx",17.6193912793566,15
"BWBSmk/101","Sx",17.6193912793566,15
"BWBSmk/101","Yc",20.9746836121457,NA
"BWBSmk/102","At",12.7396495041391,NA
"BWBSmk/102","Ba",15.8479694495971,NA
"BWBSmk/102","Bl",13.7085824887137,NA
"BWBSmk/102","Cw",12.3558660642556,NA
"BWBSmk/102","Fd",16.7587594993636,NA
"BWBSmk/102","Hm",12.1713149949199,NA
"BWBSmk/102","Hw",12.9704069146332,NA
"BWBSmk/102","Lw",19.3427478878411,NA
"BWBSmk/102","Pl",13.672150309212,12
"BWBSmk/102","Pl",13.672150309212,12
"BWBSmk/102","Pw",21.9700799390452,NA
"BWBSmk/102","Py",16.9012896674475,NA
"BWBSmk/102","Sb",10.0979592195909,NA
"BWBSmk/102","Ss",22.7018792830891,NA
