Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp,Diff,Mean,SD
ICHdw1/101,NA,NA,NA,NA,Lw,#VALUE!,-0.840533946,3.792588427
CWHmm1/11,13.03751449,14.84679991,16.65608534,12,Cw,-2.846799913,,
CWHws2/02,10.51152015,10.82666104,11.45576047,8,Cw,-2.826661039,,
CWHws2/02,10.51152015,10.82666104,11.45576047,8,Cw,-2.826661039,,
CWHvm1/04,27.68245915,29.03844504,30.39443092,26.24957166,Hw,-2.788873372,,
CWHvm1/04,27.68245915,29.03844504,30.39443092,26.24957166,Hw,-2.788873372,,
CWHmm1/07,37.98073524,38.70809521,39.50413215,36,Fd,-2.708095211,,
CWHws2/05,20.28880044,22.63240885,25.19802404,20,Sx,-2.632408853,,
CWHws2/05,20.28880044,22.63240885,25.19802404,20,Sx,-2.632408853,,
CWHws2/10,9.31251035,10.60485708,11.89720381,8,Cw,-2.604857081,,
CWHws2/10,9.31251035,10.60485708,11.89720381,8,Cw,-2.604857081,,
CWHvh1/06,26.08795591,26.5765105,26.85177614,24,Hw,-2.576510504,,
IDFww/01,15.27233241,17.45379814,19.51003218,15,Cw,-2.45379814,,
IDFww/01,15.27233241,17.45379814,19.51003218,15,Cw,-2.45379814,,
CWHvm1/05,30.41540304,30.98499864,31.3059251,28.55975008,Hw,-2.425248561,,
CWHvm1/05,30.41540304,30.98499864,31.3059251,28.55975008,Hw,-2.425248561,,
CDFmm/12,26.29078298,26.40530089,26.51981879,24,Cw,-2.405300887,,
CWHws2/01,20.13644709,22.37592331,24.76950583,20,Sx,-2.375923311,,
CWHws2/01,20.13644709,22.37592331,24.76950583,20,Sx,-2.375923311,,
CWHms1/02,14.194337,14.35204656,14.48178963,12,Pl,-2.352046557,,
CWHvm1/14,21.97059055,23.21193308,24.06191917,20.95,Hw,-2.26193308,,
CWHvm1/14,21.97059055,23.21193308,24.06191917,20.95,Hw,-2.26193308,,
CWHvm2/09,12.37132259,14.23229318,15.63550196,12,Pl,-2.232293177,,
CWHvm2/09,12.37132259,14.23229318,15.63550196,12,Pl,-2.232293177,,
CWHws2/06,25.1933377,26.22516773,27.41120077,24,Sx,-2.22516773,,
CWHws2/06,25.1933377,26.22516773,27.41120077,24,Sx,-2.22516773,,
CWHdm/14,29.86564393,30.20029339,30.53494286,28,Cw,-2.200293394,,
CWHws2/02,13.92731982,14.08206262,14.20936502,12,Pl,-2.082062619,,
CWHws2/02,13.92731982,14.08206262,14.20936502,12,Pl,-2.082062619,,
CWHmm2/08,25.34320457,26.04870089,26.72933852,24,Hw,-2.048700885,,
CWHws2/06,25.34320457,26.04870089,26.72933852,24,Hw,-2.048700885,,
CWHws2/06,25.34320457,26.04870089,26.72933852,24,Hw,-2.048700885,,
CWHms2/04,20.35187161,22.01861784,23.01580812,20,Hw,-2.01861784,,
CWHdm/01,33.51260167,36.02134064,38.34990567,34.06666676,Fd,-1.954673879,,
CWHvm2/11,16.25272758,17.9285826,19.01003213,16,Cw,-1.9285826,,
CWHvm2/11,16.25272758,17.9285826,19.01003213,16,Cw,-1.9285826,,
CWHmm2/10,16.25272758,17.9285826,19.01003213,16,Cw,-1.9285826,,
CWHvh1/13,16.25272758,17.9285826,19.01003213,16,Cw,-1.9285826,,
CWHwm/09,16.25272758,17.9285826,19.01003213,16,Cw,-1.9285826,,
IDFww/02,13.72813435,13.90354975,14.17213737,12,Pl,-1.903549753,,
IDFww/02,13.72813435,13.90354975,14.17213737,12,Pl,-1.903549753,,
CDFmm/14,21.61015277,21.89426179,22.17837081,20,Cw,-1.894261793,,
CWHws2/04,16.57311884,17.85412881,18.94272771,16,Cw,-1.854128814,,
CWHws2/04,16.57311884,17.85412881,18.94272771,16,Cw,-1.854128814,,
CWHds2/03,16.71278378,17.79192173,19.21430517,16,Pl,-1.791921725,,
CDFmm/03,21.40642209,21.70211913,21.99781617,20,Fd,-1.702119129,,
CWHws2/04,23.74385021,25.68838748,26.85177614,24,Hw,-1.68838748,,
CWHws2/04,23.74385021,25.68838748,26.85177614,24,Hw,-1.68838748,,
IDFww/03,19.43374601,19.58184437,19.77796979,18,Py,-1.581844367,,
IDFww/03,19.43374601,19.58184437,19.77796979,18,Py,-1.581844367,,
CWHvm1/04,33.35670116,33.57542709,33.79415302,32,Fd,-1.575427089,,
CWHws2/04,23.90770676,25.48570059,26.94039889,24,Sx,-1.485700589,,
CWHws2/04,23.90770676,25.48570059,26.94039889,24,Sx,-1.485700589,,
CWHvm2/06,21.28065367,21.47411509,21.72468308,20,Cw,-1.47411509,,
CWHvm2/06,21.28065367,21.47411509,21.72468308,20,Cw,-1.47411509,,
CWHmm2/06,21.28065367,21.47411509,21.72468308,20,Cw,-1.47411509,,
CWHdm/04,23.28319761,25.46191522,27.39446081,24,Cw,-1.461915217,,
CWHms1/04,19.8877426,21.42495458,22.73127325,20,Cw,-1.424954577,,
CWHms2/04,19.8877426,21.42495458,22.73127325,20,Cw,-1.424954577,,
CWHdm/06,36.95986722,37.42204816,38.46616572,36,Fd,-1.42204816,,
CWHdm/02,17.10991757,17.30002138,17.45641426,16,Pl,-1.300021377,,
CWHms1/10,12.6085079,13.24805161,13.88759532,12,Pl,-1.248051608,,
CWHvm1/09,23.60328952,29.22798371,31.3059251,28,Hw,-1.22798371,,
CWHvm1/09,23.60328952,29.22798371,31.3059251,28,Hw,-1.22798371,,
ICHdw1/101,21.76551724,22.22604371,22.92374681,21,Py,-1.226043706,,
CWHvm1/08,23.60328952,27.47096878,31.16317763,26.32687497,Hw,-1.144093807,,
CWHvm1/08,23.60328952,27.47096878,31.16317763,26.32687497,Hw,-1.144093807,,
CWHws2/05,15.42927734,17.13571649,18.10390257,16,Cw,-1.135716493,,
CWHws2/05,15.42927734,17.13571649,18.10390257,16,Cw,-1.135716493,,
CWHvm2/03,16.77950091,17.08772485,17.34225083,16,Cw,-1.087724848,,
CWHvm2/03,16.77950091,17.08772485,17.34225083,16,Cw,-1.087724848,,
CWHvm1/03,16.77950091,17.08772485,17.34225083,16,Cw,-1.087724848,,
CWHvm1/03,16.77950091,17.08772485,17.34225083,16,Cw,-1.087724848,,
CWHwm/02,16.77950091,17.08772485,17.34225083,16,Cw,-1.087724848,,
CWHds1/06,24.82742928,25.05313427,25.34546359,24,Cw,-1.053134271,,
CWHds2/06,24.82742928,25.05313427,25.34546359,24,Cw,-1.053134271,,
CWHdm/15,24.69731745,25.02201348,25.3467095,24,Cw,-1.022013478,,
CWHvh1/01,15.63550196,17.01773035,18.33130287,16,Pl,-1.017730347,,
CWHmm2/02,16.56108515,17.00647997,17.43112075,16,Fd,-1.006479971,,
CWHvm2/10,12.37132259,12.9988355,13.62634842,12,Pl,-0.998835503,,
CWHvm2/10,12.37132259,12.9988355,13.62634842,12,Pl,-0.998835503,,
CWHwm/10,12.37132259,12.9988355,13.62634842,12,Pl,-0.998835503,,
CWHws2/10,12.37132259,12.9988355,13.62634842,12,Pl,-0.998835503,,
CWHws2/10,12.37132259,12.9988355,13.62634842,12,Pl,-0.998835503,,
CWHds1/12,18.96151551,20.9166797,22.17837081,20,Cw,-0.9166797,,
CWHds2/12,18.96151551,20.9166797,22.17837081,20,Cw,-0.9166797,,
CWHmm1/12,18.96151551,20.9166797,22.17837081,20,Cw,-0.9166797,,
CWHvm2/04,23.74385021,24.90690894,26.06996766,24,Hw,-0.906908935,,
CWHvm2/04,23.74385021,24.90690894,26.06996766,24,Hw,-0.906908935,,
CWHds1/04,20.12583061,20.89265346,21.57138577,20,Cw,-0.892653464,,
CWHds2/04,20.12583061,20.89265346,21.57138577,20,Cw,-0.892653464,,
CWHvm2/01,19.98288467,20.83115577,21.72468308,20,Cw,-0.831155773,,
CWHvm2/01,19.98288467,20.83115577,21.72468308,20,Cw,-0.831155773,,
CWHms1/10,11.17501242,12.7258285,14.27664457,12,Cw,-0.725828497,,
CWHms2/10,11.17501242,12.7258285,14.27664457,12,Cw,-0.725828497,,
CWHdm/03,18.10054212,20.68598298,23.12300111,20,Cw,-0.685982981,,
CWHms1/01,22.90651975,24.62129198,26.21291179,24,Fd,-0.621291982,,
CWHms2/01,22.90651975,24.62129198,26.21291179,24,Fd,-0.621291982,,
CDFmm/03,14.88434668,16.60644156,18.32853643,16,Pl,-0.606441555,,
CWHdm/05,26.51699014,28.5666061,30.30836433,28,Cw,-0.566606102,,
CWHms1/05,18.5151328,20.56285979,21.72468308,20,Cw,-0.562859792,,
CWHmm2/04,22.70300158,24.51860975,26.28434124,24,Fd,-0.518609752,,
CWHvm1/02,12.0285978,12.45691221,12.80953678,12,Pl,-0.456912205,,
CWHvm1/02,12.0285978,12.45691221,12.80953678,12,Pl,-0.456912205,,
CWHwm/02,20.27851044,20.38703551,20.54687168,20,Hw,-0.387035509,,
CWHwm/01,16.77950091,20.03405115,21.72468308,19.6933332,Cw,-0.340717952,,
CDFmm/05,23.31336545,24.30301507,25.34546359,24,Cw,-0.303015069,,
CWHvm2/04,19.8877426,20.21679411,20.54584561,20,Cw,-0.216794107,,
CWHvm2/04,19.8877426,20.21679411,20.54584561,20,Cw,-0.216794107,,
CWHvh1/04,19.98288467,20.18819646,20.41649523,20,Cw,-0.188196457,,
CWHdm/07,29.86564393,30.94733661,31.84923429,30.76363616,Cw,-0.183700459,,
CWHws2/03,15.03574725,16.03073513,17.25382329,16,Pl,-0.030735127,,
CWHws2/03,15.03574725,16.03073513,17.25382329,16,Pl,-0.030735127,,
CWHmm1/06,21.60098827,23.99000309,25.34546359,24,Cw,0.009996909,,
CWHdm/11,15.19835205,15.96926091,16.74016977,16,Pl,0.030739093,,
CWHws2/03,11.14195314,15.96341059,20.54687168,16,Hw,0.036589412,,
CWHws2/03,11.14195314,15.96341059,20.54687168,16,Hw,0.036589412,,
CWHds1/01,19.5760844,19.93567899,20.23262597,20,Cw,0.06432101,,
CWHmm2/10,18.84465568,19.90938229,20.63843394,20,Hw,0.090617706,,
CWHvm1/01,26.63293579,27.56133835,28.54537162,27.65612757,Hw,0.094789228,,
CWHvm1/01,26.63293579,27.56133835,28.54537162,27.65612757,Hw,0.094789228,,
CWHvh1/08,23.88692572,23.88692572,23.88692572,24,Cw,0.113074281,,
CWHvm2/06,22.84365108,23.82734911,24.48398909,24,Hw,0.172650893,,
CWHvm2/06,22.84365108,23.82734911,24.48398909,24,Hw,0.172650893,,
CWHmm2/06,22.84365108,23.82734911,24.48398909,24,Hw,0.172650893,,
IDFww/06,26.61147454,26.74213299,26.87279143,27,Cw,0.257867014,,
IDFww/06,26.61147454,26.74213299,26.87279143,27,Cw,0.257867014,,
CWHds1/07,27.59708471,27.73258236,27.86808001,28,Cw,0.267417644,,
CWHds2/07,27.59708471,27.73258236,27.86808001,28,Cw,0.267417644,,
CWHds1/08,27.59708471,27.73258236,27.86808001,28,Cw,0.267417644,,
CDFmm/13,27.59708471,27.73258236,27.86808001,28,Cw,0.267417644,,
CWHds2/08,27.59708471,27.73258236,27.86808001,28,Cw,0.267417644,,
CWHmm1/03,28.3927182,31.68390708,35.03718865,32,Fd,0.316092923,,
CWHvm2/01,22.84365108,23.63996225,24.48398909,24,Hw,0.360037754,,
CWHdm/05,37.95663107,39.35675239,40.67619491,39.75636361,Fd,0.399611221,,
CWHds2/11,14.84558711,15.5986026,16.3516181,16,Pl,0.401397397,,
CDFmm/07,31.46517995,31.58883652,31.77482979,32,Fd,0.411163477,,
CDFmm/06,31.46517995,31.58883652,31.77482979,32,Fd,0.411163477,,
CWHds1/05,23.20236637,23.58625979,23.97015321,24,Cw,0.413740209,,
CWHds2/05,23.20236637,23.58625979,23.97015321,24,Cw,0.413740209,,
CWHvm1/05,35.39832744,35.53744109,35.74668351,36,Fd,0.462558912,,
CWHws2/01,13.98291743,15.53163388,17.01374603,16,Cw,0.468366123,,
CWHws2/01,13.98291743,15.53163388,17.01374603,16,Cw,0.468366123,,
CWHms2/03,13.57540659,15.51448724,17.34225083,16,Cw,0.485512764,,
CWHds1/07,35.39832744,35.47602319,35.55371894,36,Fd,0.523976811,,
CWHds2/07,35.39832744,35.47602319,35.55371894,36,Fd,0.523976811,,
IDFww/06,35.39832744,35.47602319,35.55371894,36,Fd,0.523976811,,
IDFww/06,35.39832744,35.47602319,35.55371894,36,Fd,0.523976811,,
CWHvh1/04,22.99748102,23.45257538,23.72549568,24,Hw,0.547424615,,
CWHvm1/06,20.58056508,24.6300057,28.54537162,25.18514981,Hw,0.555144116,,
CWHvm1/06,20.58056508,24.6300057,28.54537162,25.18514981,Hw,0.555144116,,
CWHws2/06,18.66602746,19.34208538,19.90577143,20,Cw,0.657914616,,
CWHws2/06,18.66602746,19.34208538,19.90577143,20,Cw,0.657914616,,
CWHms2/02,11.14185586,11.26565009,11.36749202,12,Pl,0.734349905,,
CWHds1/02,11.14185586,11.26565009,11.36749202,12,Pl,0.734349905,,
CWHms1/06,22.39923295,23.21050246,23.88692572,24,Cw,0.789497539,,
CWHms2/06,22.39923295,23.21050246,23.88692572,24,Cw,0.789497539,,
CWHmm2/08,22.39923295,23.21050246,23.88692572,24,Cw,0.789497539,,
CWHms1/07,22.39923295,23.21050246,23.88692572,24,Cw,0.789497539,,
CWHvm1/05,22.53495684,23.20194996,23.88692572,23.99162495,Cw,0.78967499,,
CWHvm1/05,22.53495684,23.20194996,23.88692572,23.99162495,Cw,0.78967499,,
CWHvm2/05,22.53495684,23.20194996,23.88692572,24,Cw,0.798050039,,
CWHvm2/05,22.53495684,23.20194996,23.88692572,24,Cw,0.798050039,,
CWHvh1/06,22.53495684,23.20194996,23.88692572,24,Cw,0.798050039,,
CWHmm1/06,21.27294004,23.17039139,24.48398909,24,Hw,0.829608614,,
CWHvm1/08,18.52298809,21.26864749,23.88692572,22.11500013,Cw,0.846352636,,
CWHvm1/08,18.52298809,21.26864749,23.88692572,22.11500013,Cw,0.846352636,,
CDFmm/04,21.40642209,27.1305891,30.03924713,28,Fd,0.869410905,,
CWHmm2/04,17.4623982,19.09643641,20.54584561,20,Cw,0.903563587,,
CWHms1/06,26.58651467,27.09566665,27.65289251,28,Fd,0.904333352,,
CWHms2/06,26.58651467,27.09566665,27.65289251,28,Fd,0.904333352,,
CWHmm2/08,26.58651467,27.09566665,27.65289251,28,Fd,0.904333352,,
CWHmm1/07,26.13243844,27.07891954,27.86808001,28,Cw,0.921080462,,
CDFmm/07,26.29078298,27.06894162,27.86808001,28,Cw,0.931058378,,
CDFmm/06,26.29078298,27.06894162,27.86808001,28,Cw,0.931058378,,
CWHmm1/04,32.43285939,35.02658536,37.54905891,36,Fd,0.97341464,,
CWHmm1/08,26.13243844,26.96618233,27.86808001,28,Cw,1.033817672,,
CWHmm1/09,26.13243844,26.96618233,27.86808001,28,Cw,1.033817672,,
CWHdm/08,29.86564393,30.94733661,31.84923429,32,Cw,1.052663385,,
CWHms1/04,25.9441009,26.90111125,27.80297606,28,Fd,1.098888749,,
CWHms2/04,25.9441009,26.90111125,27.80297606,28,Fd,1.098888749,,
CWHmm2/05,25.9441009,26.90111125,27.80297606,28,Fd,1.098888749,,
IDFww/03,16.71278378,16.89847514,17.05123803,18,Pl,1.101524858,,
IDFww/03,16.71278378,16.89847514,17.05123803,18,Pl,1.101524858,,
CWHwm/08,12.37132259,14.80311178,17.08638621,16,Pl,1.196888216,,
CWHms1/01,17.38158038,18.78840467,20.33613915,20,Hw,1.211595331,,
CWHms2/01,17.38158038,18.78840467,20.33613915,20,Hw,1.211595331,,
IDFww/05,22.37371043,22.74389337,23.11407631,24,Cw,1.25610663,,
IDFww/05,22.37371043,22.74389337,23.11407631,24,Cw,1.25610663,,
CWHdm/07,38.89649259,39.64139002,40.45662029,40.96444405,Fd,1.323054036,,
CDFmm/04,20.12583061,22.66191156,23.97015321,24,Cw,1.338088442,,
ICHdw1/102,19.53381731,19.65589355,19.77796979,21,Py,1.344106454,,
CWHms1/01,16.77950091,18.63796065,20.41649523,20,Cw,1.362039347,,
CWHms2/01,16.77950091,18.63796065,20.41649523,20,Cw,1.362039347,,
CWHvh1/08,26.63697145,26.63697145,26.63697145,28,Hw,1.363028553,,
CWHvm2/05,26.08795591,26.5765105,26.85177614,28,Hw,1.423489496,,
CWHvm2/05,26.08795591,26.5765105,26.85177614,28,Hw,1.423489496,,
CWHvm1/14,16.25272758,17.9285826,19.01003213,19.36384605,Cw,1.435263445,,
CWHvm1/14,16.25272758,17.9285826,19.01003213,19.36384605,Cw,1.435263445,,
ICHdw1/110,22.19324588,22.44211098,22.69097607,24,Py,1.557889022,,
CWHmm1/05,37.06300129,38.43015893,39.71853723,40,Fd,1.569841069,,
IDFww/04,21.82570947,22.42080573,23.04801782,24,Py,1.579194271,,
IDFww/04,21.82570947,22.42080573,23.04801782,24,Py,1.579194271,,
CWHms2/10,9.897058072,10.3990684,10.90107873,12,Pl,1.600931598,,
CWHvm1/13,9.897058072,10.3990684,10.90107873,12,Pl,1.600931598,,
CWHvm1/13,9.897058072,10.3990684,10.90107873,12,Pl,1.600931598,,
CWHvm2/04,22.23780077,22.38361806,22.52943535,24,Fd,1.616381941,,
CWHmm1/11,13.68909361,14.38344807,15.07780253,16,Pl,1.616551927,,
CWHwm/03,19.8877426,22.37241674,23.88692572,24,Cw,1.627583263,,
CDFmm/01,14.71612821,18.34289448,20.23262597,20,Cw,1.657105522,,
CWHvm1/03,29.45123968,30.52889694,31.53346978,32.20111105,Fd,1.672214107,,
CWHmm1/04,20.37279791,22.27917581,23.97015321,24,Cw,1.720824185,,
CWHmm2/02,14.11042648,14.26720373,14.39617982,16,Pl,1.732796271,,
CWHvm1/09,18.52298809,22.23529873,23.88692572,24,Cw,1.764701273,,
CWHvm1/09,18.52298809,22.23529873,23.88692572,24,Cw,1.764701273,,
CWHvm1/01,19.98288467,20.83115577,21.72468308,22.60567645,Cw,1.774520681,,
CWHvm1/01,19.98288467,20.83115577,21.72468308,22.60567645,Cw,1.774520681,,
CWHmm2/03,19.87490274,22.17873495,24.52603205,24,Fd,1.821265046,,
CWHws2/03,16.25487257,18.139083,20.05884159,20,Fd,1.860916999,,
CWHmm1/03,15.83797435,18.10023511,20.23262597,20,Cw,1.899764892,,
CDFmm/02,13.92731982,14.08206262,14.20936502,16,Pl,1.917937381,,
