"","BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7"
"115","ICHmk5",1.5,2,3,3.5,4,5.5,6.5,8
"116","ICHmm",2,2.5,3.5,4,4.5,6,7,8
"117","ICHmw1",2,2.5,3.5,4,4.5,6,7,8
"118","ICHmw2",2.5,3,3.5,4.5,5,6,7,8
"119","ICHmw3",2.5,3,3.5,4.5,5,6,7,8
"120","ICHmw4",3,3.5,4.5,5,5.5,6.5,8,8
"121","ICHmw5",2.5,3,3.5,4.5,5,6,7,8
"122","ICHvc",3.5,4,5,5.5,6,6.5,8,8
"123","ICHvk1",3.5,4,5,5.5,6,6.5,8,8
"124","ICHvk2",3.5,4,5,5.5,6,6.5,8,8
"125","ICHwc",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"126","ICHwk1",3,3.5,4,5,5.5,6.5,7.5,8
"127","ICHwk2",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"128","ICHwk3",3,4,4.5,5,6,6.5,8,8
"129","ICHwk4",3,4,4.5,5,6,6.5,8,8
"130","ICHxw",1,1.5,2.5,3,3.5,4.5,6,8
"131","ICHxwa",0.5,1.5,2,2.5,3.5,4,6,8
"132","IDFdc",1,1.5,2.5,3,3.5,4.5,6,8
"133","IDFdk1",0.5,1.5,2,3,3.5,4.5,6,8
"134","IDFdk2",1,1.5,2.5,3,3.5,4.5,6,8
"135","IDFdk3",0.5,1.5,2,2.5,3.5,4,6,8
"136","IDFdk4",0.5,1,2,2.5,3,4,6,8
"137","IDFdk5",0.5,1.5,2,2.5,3.5,4,6,8
"138","IDFdm1",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"139","IDFdm2",0.5,1,2,2.5,3,4,6,8
"140","IDFdw",0.5,1.5,2,3,3.5,4.5,6,8
"141","IDFmw1",0.5,1.5,2,3,3.5,4.5,6,8
"142","IDFmw2",1,2,2.5,3,4,5,6.5,8
"143","IDFww",1,1.5,2.5,3,3.5,4.5,6,8
"144","IDFww1",0.5,1,2,2.5,3,4,6,8
"145","IDFxc",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"146","IDFxh1",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"147","IDFxh2",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"148","IDFxh4",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"149","IDFxk",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"150","IDFxm",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"151","IDFxw",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"152","IDFxx2",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"153","IMAun",3,3.5,4.5,5,6,6.5,8,8
"154","IMAunp",2.5,3,4,4.5,5,6.5,7.5,8
"155","MHmm1",3,3.5,4.5,5,6,6.5,8,8
"156","MHmm2",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"157","MHmmp",3,3.5,4.5,5,5.5,6.5,8,8
"158","MHun",2.5,3,3.5,4.5,5,6,7,8
"159","MHunp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"160","MHwh",3,3.5,4.5,5,6,6.5,8,8
"161","MHwh1",3,3.5,4.5,5,6,6.5,8,8
"162","MHwhp",3,3.5,4.5,5,6,6.5,8,8
"163","MSdc1",1.5,2,3,3.5,4,5.5,6.5,8
"164","MSdc2",2,2.5,3,4,4.5,6,7,8
"165","MSdc3",2,2.5,3,4,4.5,6,7,8
"166","MSdk",1.5,2,3,3.5,4,5.5,6.5,8
"167","MSdm1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"168","MSdm2",1.5,2,3,3.5,4,5.5,6.5,8
"169","MSdm3",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"170","MSdv",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"171","MSdw",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"172","MSmw1",1.5,2,3,3.5,4,5.5,6.5,8
"173","MSmw2",1.5,2,2.5,3.5,4,5,6.5,8
"174","MSxk1",1.5,2,3,3.5,4,5.5,6.5,8
"175","MSxk2",1,2,2.5,3,4,5,6.5,8
"176","MSxk3",2,2.5,3,4,4.5,6,7,8
"177","MSxv",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"178","PPxh1",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"179","PPxh2",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"180","PPxh3",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"181","SBPSdc",1,1.5,2.5,3,3.5,4.5,6,8
"182","SBPSmc",1.5,2,2.5,3.5,4,5,6.5,8
"183","SBPSmk",1.5,2,2.5,3.5,4,5,6.5,8
"184","SBPSxc",1,2,2.5,3,4,5,6.5,8
"185","SBSdh1",1.5,2,3,3.5,4,5.5,6.5,8
"186","SBSdh2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"187","SBSdk",1.5,2,2.5,3.5,4,5,6.5,8
"188","SBSdw1",1.5,2,3,3.5,4,5.5,6.5,8
"189","SBSdw2",1.5,2,2.5,3.5,4,5,6.5,8
"190","SBSdw3",1.5,2,3,3.5,4,5.5,6.5,8
"191","SBSmc1",2,3,3.5,4,5,6,7,8
"192","SBSmc2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"193","SBSmc3",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"194","SBSmh",1,1.5,2.5,3,3.5,4.5,6,8
"195","SBSmk1",2,2.5,3,4,4.5,6,7,8
"196","SBSmk2",2,2.5,3,4,4.5,6,7,8
"197","SBSmm",2,2.5,3,4,4.5,6,7,8
"198","SBSmw",2,2.5,3,4,4.5,6,7,8
"199","SBSun",2,2.5,3,4,4.5,6,7,8
"200","SBSvk",3,3.5,4,5,5.5,6.5,7.5,8
"201","SBSwk1",2,3,3.5,4,5,6,7,8
"202","SBSwk2",2,3,3.5,4,5,6,7,8
"203","SBSwk3",2,2.5,3,4,4.5,6,7,8
"204","SBSwk3a",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"205","SWBmk",3,3.5,4,5,5.5,6.5,7.5,8
"206","SWBmks",3,3.5,4.5,5,5.5,6.5,8,8
"207","SWBun",2.5,3,4,4.5,5,6.5,7.5,8
"208","SWBuns",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"209","SWBvk",3,3.5,4.5,5,6,6.5,8,8
"210","SWBvks",3,3.5,4.5,5,6,6.5,8,8
