ID1,ID2,lat,long,el
01OK177,287,49.81,-119.84,1111
01OK181,288,49.58,-119.51,1266
01OK182,289,49.54,-119.5,1316
01OK183,290,49.48,-119.46,1460
01OK184,291,49.78,-119.78,1037
01OK185,292,49.79,-119.78,1008
01OK186,293,49.59,-119.85,1110
01OK187,294,49.58,-119.84,1210
01OK188,295,49.61,-119.9,1042
01OK189,296,49.56,-119.83,1195
01OK190,297,49.56,-119.82,1169
01OK191,298,49.85,-119.71,1030
01OK192,299,49.72,-120.15,1193
01OK193,300,49.79,-119.86,995
01OK194,301,49.81,-119.9,1184
01OK195,302,49.82,-119.85,1104
01OK196,303,49.83,-119.87,1321
01OK197,304,49.81,-119.84,994
01OK198,305,49.81,-119.86,1100
01OK200,306,49.55,-119.83,1226
01OK201,307,49.58,-119.9,1330
01OK202,308,49.57,-119.89,1477
01OK203,309,49.56,-119.88,1539
01OK204,310,49.55,-119.87,1476
01OK205,311,49.92,-119.6,1004
01OK206,312,49.92,-119.6,973
020KD7,313,49.71,-119.53,1220
02OKD1,314,49.51,-119.33,1600
02OKD10,315,49.77,-119.21,1320
02OKD11,316,49.77,-119.21,1320
02OKD12,317,49.77,-119.2,1285
02OKD13,318,49.66,-119.25,1440
02OKD14,319,49.7,-119.24,1460
02OKD15,320,49.71,-119.24,1507
02OKD16,321,49.4,-119.35,1600
02OKD17,322,49.4,-119.32,1600
02OKD18,323,49.65,-119.25,1390
02OKD19,324,49.66,-119.28,1500
02OKD20,325,49.66,-119.26,1470
02OKD3,326,49.56,-119.99,1570
02OKD6,327,49.61,-119.99,1590
02OKD8,328,49.73,-119.5,1285
02OKD9,329,49.73,-119.5,1285
02OKW1,330,49.82,-119.06,1430
02OKW10,331,49.81,-119.17,1370
02OKW11,332,49.83,-119.15,1255
02OKW12,333,49.86,-119.18,923
02OKW13,334,49.87,-119.15,888
02OKW14,335,49.96,-119.1,1440
02OKW15,336,49.88,-118.65,1537
02OKW16,337,49.87,-118.65,1565
02OKW17,338,49.93,-118.68,1057
02OKW18,339,49.91,-118.49,1750
02OKW19,340,49.94,-118.51,1530
02OKW2,341,49.83,-119.06,1530
02OKW20,342,50.1,-118.36,1700
02OKW21,343,50.1,-118.34,1690
02OKW22,344,50.12,-118.38,1390
02OKW24,345,50.01,-118.48,1750
02OKW25,346,50.01,-118.51,1622
02OKW26,347,50.02,-118.46,1700
02OKW27,348,50.13,-118.38,1505
02OKW28,349,50.14,-118.39,1497
02OKW29,350,50.15,-118.4,1750
02OKW3,351,49.89,-119.06,1045
02OKW30,352,50.14,-118.47,1685
02OKW31,353,49.93,-118.69,1080
02OKW32,354,49.85,-118.68,1260
02OKW33,355,50.03,-118.6,1316
02OKW34,356,50.03,-118.6,1300
02OKW35,357,50.07,-118.55,1508
02OKW36,358,50.15,-118.87,1068
02OKW37,359,50.09,-118.58,1650
02OKW38,360,50.14,-118.83,1218
02OKW39,361,50.15,-118.85,1000
02OKW4,362,49.95,-119.04,1215
02OKW40,363,50.14,-118.88,880
02OKW41,364,50.16,-118.98,1265
02OKW42,365,50.18,-118.97,1110
02OKW43,366,50.16,-118.99,1120
02OKW44,367,50.22,-118.78,1142
02OKW45,368,50.22,-118.78,1097
02OKW46,369,50.21,-118.72,1200
02OKW47,370,50.21,-118.72,1076
02OKW49,372,50.17,-118.51,871
02OKW5,373,49.82,-119.31,942
02OKW50,374,50.18,-118.51,1186
02OKW51,375,50.32,-118.36,1700
02OKW52,376,50.39,-118.34,877
02OKW53,377,50.38,-118.45,700
02OKW54,378,49.96,-118.62,1350
02OKW55,379,50.3,-118.53,1420
02OKW56,380,49.97,-118.62,1414
02OKW57,381,50.03,-118.55,1166
02OKW58,382,50.01,-118.55,1419
02OKW59,383,50.1,-118.45,1379
02OKW6,384,49.8,-119.29,1280
02OKW60,385,50.08,-118.5,1400
02OKW61,386,50.3,-119,1100
02OKW62,387,50.3,-119.01,1150
02OKW63,388,50.38,-118.93,817
02OKW64,389,50.33,-118.97,983
02OKW65,390,50.33,-118.97,979
02OKW66,391,50.31,-118.92,985
02OKW67,392,50.32,-118.91,1060
02OKW68,393,50.33,-118.93,772
02OKW69,394,50.33,-118.7,1400
02OKW7,395,49.8,-119.18,1308
02OKW8,396,49.82,-119.22,1300
02OKW9,397,49.82,-119.22,1310
08-4559,398,49.74,-120.26,1412
08-4560,399,49.69,-120.29,1178
08-4561,400,49.54,-120.85,1010
08-4562,401,49.55,-120.78,990
08-4563,402,49.58,-120.82,1305
08-4564,403,49.61,-120.78,1060
08-4565,404,49.23,-120.5,1238
08-4566,405,49.31,-120.41,1244
08-4567,406,49.3,-120.6,1358
08-4568,407,49.26,-120.59,1246
08-4569,408,49.69,-120.68,1371
08-4570,409,49.63,-120.69,1356
08-4571,410,49.36,-120.6,1018
08-4572,411,50.35,-120.63,1438
08-4573,412,50.31,-120.7,1478
08-4574,413,49.25,-120.6,1407
08-4575,414,49.19,-120.68,1219
08-4576,415,49.68,-120.54,1599
08-7018,416,50.38,-122.45,1346
08-7019,417,50.38,-122.45,1246
08-7024,418,50.37,-122.2,1569
08-7027,419,51.05,-122.47,1423
08-7028,420,51.04,-122.47,1437
