SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHdm/15,Cw,24
CWHds1/01,Cw,20
CWHds1/01,Fd,33.79375029
CWHds1/02,Fd,12
CWHds1/03,Cw,12
CWHds1/03,Fd,16
CWHds1/04,Cw,20
CWHds1/04,Fd,24
CWHds1/05,Cw,24
CWHds1/05,Fd,36
CWHds1/06,Cw,24
CWHds1/06,Fd,28
CWHds1/06,Hw,28
CWHds1/07,Bg,36
CWHds1/07,Cw,28
CWHds1/07,Dr,26.38875008
CWHds1/07,Fd,36
CWHds1/08,Bg,36
CWHds1/08,Cw,28
CWHds1/09,Bg,28
CWHds1/09,Cw,24
CWHds1/11,Cw,12
CWHds1/02,Pl,12
CWHds1/12,Cw,20
CWHds2/01,Cw,16
CWHds2/01,Fd,24
CWHds2/01,Hw,20
CWHds2/03,Cw,12
CWHds2/03,Fd,16
CWHds1/03,Pl,16
CWHds2/04,Cw,20
CWHds2/04,Fd,24
CWHds2/05,Cw,24
CWHds2/05,Fd,36
CWHds2/05,Ss,32
CWHds2/06,Cw,24
CWHds2/06,Fd,28
CWHds2/06,Hw,28
CWHds2/07,Cw,28
CWHds2/07,Fd,36
CWHds2/07,Ss,36
CWHds2/08,Cw,28
CWHds2/08,Ss,36
CWHds2/09,Cw,24
CWHds2/09,Ss,28
CWHds2/11,Cw,12
CWHds1/11,Pl,16
CWHds2/12,Cw,20
CWHds2/12,Ss,24
CWHmm1/01,Cw,24
CWHmm1/01,Fd,28
CWHmm1/01,Hw,24
CWHmm1/02,Fd,20
CWHmm1/03,Cw,20
CWHmm1/03,Fd,32
CWHmm1/04,Cw,24
CWHmm1/04,Fd,36
CWHmm1/05,Cw,28
CWHmm1/05,Fd,40
CWHmm1/05,Hw,28
CWHmm1/06,Ba,28
CWHmm1/06,Cw,24
CWHmm1/06,Hw,24
CWHmm1/07,Ba,28
CWHmm1/07,Cw,28
CWHmm1/07,Fd,36
CWHmm1/08,Ba,28
CWHmm1/08,Cw,28
CWHmm1/09,Ba,24
CWHmm1/09,Cw,28
CWHmm1/11,Cw,12
CWHds2/02,Pl,12
CWHmm1/12,Cw,20
CWHmm1/12,Hw,24
CWHmm1/12,Ss,24
CWHmm2/01,Ba,24
CWHmm2/01,Cw,24
CWHmm2/01,Fd,28
CWHmm2/01,Hw,24
CWHmm2/01,Yc,24
CWHmm2/02,Fd,16
CWHds2/03,Pl,16
CWHmm2/03,Cw,20
CWHmm2/03,Fd,24
CWHmm2/03,Yc,20
CWHmm2/04,Cw,20
CWHmm2/04,Fd,24
CWHmm2/04,Yc,20
CWHmm2/05,Ba,28
CWHmm2/05,Cw,24
CWHmm2/05,Fd,28
CWHmm2/05,Hw,28
