SS_NoSpace,TreeSpp,MeanPlotSiteIndex
MSxv/01,Sx,16.85666637
MSdm2/01,Sx,16.85772727
MSdm2/01,Bl,16.87473674
SBPSmc/05,Pl,16.87571417
ESSFdc2/01,Pl,16.91909096
IDFdk4/09,Sx,16.93999985
MSdm2/04,Pl,16.96639999
ICHmc1/02,Bl,16.97571441
SBSdw2/01,At,17.01999998
SBSdw2/01,At,17.01999998
MSxk/07,Pl,17.05888897
MSxk/07,Pl,17.05888897
SBSmw/03,Pl,17.05999982
SBSmw/03,Pl,17.05999982
IDFdk3/01,Fd,17.06900005
IDFdk3/01,Fd,17.06900005
ESSFmc/05,Se,17.08333355
ICHmc1/02,Hw,17.08571407
ESSFwk2/03,Pl,17.08874989
IDFdk1/04,Fd,17.09499989
SBSmw/03,Pl,17.1
MSxv/07,Sx,17.1114284
SBSwk3/02,Pl,17.11142867
SBSwk3/02,Pl,17.11142867
SBSmh/05,Ep,17.11285714
SBSmh/05,Ep,17.11285714
SBSdk/02,Pl,17.13600006
SBSdk/02,Pl,17.13600006
ESSFwc3/01,Pl,17.15142877
SBPSdc/05,Sx,17.22624993
SBSmc2/04,Pl,17.2342859
SBSmc2/04,Pl,17.2342859
IDFdk1/01,Fd,17.2408332
SBPSdc/08,Sx,17.24571419
SBSwk1/05,Ep,17.24571419
SBSwk1/05,Ep,17.24571419
MSdk/05,Fd,17.27857127
ESSFmv3/01,Pl,17.29999987
ESSFmv3/01,Pl,17.29999987
ESSFwc1/02,Bl,17.32034483
ESSFwc1/02,Bl,17.32034483
ICHmm/01,Cw,17.32714285
ICHmk1/05,Cw,17.34142862
ICHmk1/05,Cw,17.34142862
CWHvm1/03,Hw,17.36437505
CWHvm1/03,Hw,17.36437505
ICHmc2/02,Sx,17.48571478
MSxv/05,Sx,17.5285714
ICHmc2/01,Hw,17.54666666
ICHwk2/01,Cw,17.56285681
IDFdk2/01,Sx,17.61000008
MSxv/06,Pl,17.6266667
SBSmk1/06,Pl,17.63999993
ESSFwc3/01,Bl,17.64000007
ESSFwc3/01,Bl,17.64000007
ESSFdc1/01,Pl,17.6758333
ESSFdc1/01,Pl,17.6758333
ESSFmc/05,Pl,17.78350019
SBSdk/04,Pl,17.8066668
SBSdk/04,Pl,17.8066668
ICHmk1/03,Fd,17.83714294
ICHmk1/03,Fd,17.83714294
SBSdk/05,At,17.84285709
SBSdk/05,At,17.84285709
SBPSxc/01,Sx,17.87100019
ESSFdk/04,Fd,17.87142822
ESSFdc1/04,Pl,17.9000001
ESSFdc1/04,Pl,17.9000001
CWHws1/03,Hw,17.90499964
SBSmc3/05,Pl,17.91125
ESSFwc1/02,Pl,17.9117857
ESSFwc1/02,Pl,17.9117857
SBSmc2/01,Pl,17.93085862
SBSmc2/01,Pl,17.93085862
SBSmc2/01,Pl,17.93085862
SBSmc3/06,Pl,17.95285715
CWHws2/01,Hw,17.99285698
CWHws2/01,Hw,17.99285698
SBSdk/01,Sx,18.00429406
SBSdk/01,Sx,18.00429406
SBSwk3/07,Bl,18.01100025
SBSwk3/07,Bl,18.01100025
SBSdk/04,Fd,18.01888858
SBSdk/04,Fd,18.01888858
ICHwk2/07,Cw,18.02714293
SBSwk3/08,Pl,18.02799997
SBSwk3/08,Pl,18.02799997
SBSwk3/08,Bl,18.02999973
SBSwk3/08,Bl,18.02999973
SBSdk/05,Sx,18.05384629
