"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"NPSP042","1",0,1,"Hw",10.60000,15.00000,8.400000,,21,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP042","1",0,2,"Bl",13.50000,15.00000,8.700000,,25,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP042","1",0,3,"Sx",16.70000,15.00000,10.70000,,21,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP042","1",0,4,"Ac",20.50000,15.00000,14.10000,,25,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP042","1",0,5,"Cw",14.50000,15.00000,12.40000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP043","1",0,1,"Bl",26.60000,30.00000,19.60000,,82,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP043","1",0,2,"Se",36.40000,30.00000,22.10000,,82,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp13","1",0,1,"Cw",20.80000,15.00000,17.20000,,69,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp13","1",0,2,"Lw",24.50000,30.00000,26.50000,,82,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp14","1",0,1,"Lw",27.40000,30.00000,30.40000,,100,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp14","1",0,2,"Fd",41.00000,45.00000,30.80000,,70,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp15","1",0,1,"Cw",50.20000,45.00000,31.60000,,100,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp16","1",0,1,"Lw",36.20000,30.00000,38.80000,,112,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp16","1",0,2,"Pw",46.90000,45.00000,39.30000,,119,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp17","1",0,1,"Fd",29.60000,30.00000,20.70000,,56,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp17","1",0,2,"Lw",14.70000,15.00000,16.40000,,61,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp20","1",0,1,"Fd",26.40000,30.00000,18.60000,,41,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp23","1",0,1,"Fd",28.30000,30.00000,16.50000,,44,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp25","1",0,1,"Lw",14.00000,15.00000,16.50000,,55,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp25","1",0,2,"Pl",15.30000,15.00000,16.80000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp25","1",0,3,"Fd",15.50000,15.00000,13.40000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp26","1",0,1,"Fd",53.70000,60.00000,38.60000,,93,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp27","1",0,1,"Lw",30.50000,30.00000,34.90000,,96,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp29","1",0,1,"Hw",28.00000,30.00000,21.20000,,108,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP061","1",0,1,"Ac",27.20000,30.00000,22.30000,,23,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP062","1",0,1,"Ep",39.70000,45.00000,25.90000,,64,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP062","1",0,2,"At",37.10000,30.00000,28.70000,,55,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP063","1",0,1,"Fd",23.60000,30.00000,21.50000,,71,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP064","1",0,1,"Se",22.00000,15.00000,23.40000,,102,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP064","1",0,3,"Fd",28.20000,30.00000,23.40000,,102,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP064","1",0,4,"Cw",31.60000,30.00000,22.60000,,108,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP065","1",0,1,"Se",28.00000,30.00000,27.30000,,59,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP065","1",0,2,"Fd",29.50000,30.00000,23.70000,,52,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9721","1",0,1,"Ep",30.90000,30.00000,23.30000,,112,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
